Initial:  {'Temperature': 1.0, 'Pressure': 222.58978716154098, 'Total Energy': 3144.9394479248913, 'Momentum Magnitude': 2.6148868358935697e-13}
Start MD trajectory
0 {'Temperature': 0.8948232454923803, 'Pressure': 223.81739239399255, 'Total Energy': 3146.1352897256093, 'Momentum Magnitude': 2.6284466214412e-13}
10 {'Temperature': 0.4720945079111319, 'Pressure': 228.7307773110185, 'Total Energy': 3151.3275700550316, 'Momentum Magnitude': 2.71890344765744e-13}
20 {'Temperature': 0.5699646574538773, 'Pressure': 227.51698079489543, 'Total Energy': 3148.476873771653, 'Momentum Magnitude': 2.8226342395709353e-13}
30 {'Temperature': 0.48830918963933384, 'Pressure': 228.535824197246, 'Total Energy': 3150.941558572959, 'Momentum Magnitude': 2.714592296090357e-13}
40 {'Temperature': 0.4715988287743324, 'Pressure': 228.67039982947736, 'Total Energy': 3149.810386334954, 'Momentum Magnitude': 2.776150545531511e-13}
50 {'Temperature': 0.38199523098113264, 'Pressure': 229.7138253673009, 'Total Energy': 3151.2265907550322, 'Momentum Magnitude': 2.711074890714491e-13}
60 {'Temperature': 0.4690816362463305, 'Pressure': 228.7492270250729, 'Total Energy': 3150.6830890740707, 'Momentum Magnitude': 2.699359755722022e-13}
70 {'Temperature': 0.4656914340986043, 'Pressure': 228.7586333661662, 'Total Energy': 3150.488862182078, 'Momentum Magnitude': 2.7724769815093623e-13}
80 {'Temperature': 0.48063175121658647, 'Pressure': 228.5677488738648, 'Total Energy': 3149.981748034961, 'Momentum Magnitude': 2.862250925009968e-13}
90 {'Temperature': 0.43885643552095116, 'Pressure': 229.08182656342973, 'Total Energy': 3151.0378585282056, 'Momentum Magnitude': 2.831154557345132e-13}
100 {'Temperature': 0.42997458847036707, 'Pressure': 229.16341427950567, 'Total Energy': 3150.796306535256, 'Momentum Magnitude': 2.9265656349464906e-13}
110 {'Temperature': 0.4625487777166164, 'Pressure': 228.78542434366094, 'Total Energy': 3150.332737602313, 'Momentum Magnitude': 2.9736241994276046e-13}
120 {'Temperature': 0.4814048195400146, 'Pressure': 228.5963211603066, 'Total Energy': 3150.7341869826487, 'Momentum Magnitude': 3.1516768406056583e-13}
130 {'Temperature': 0.5324037502841099, 'Pressure': 227.96990950752956, 'Total Energy': 3149.3665862899347, 'Momentum Magnitude': 3.1268676737705765e-13}
140 {'Temperature': 0.435242056559138, 'Pressure': 229.12174996412764, 'Total Energy': 3151.030277517201, 'Momentum Magnitude': 3.06227204132894e-13}
150 {'Temperature': 0.5744023082292442, 'Pressure': 227.5121134493919, 'Total Energy': 3149.3407015487383, 'Momentum Magnitude': 3.0282397408084647e-13}
160 {'Temperature': 0.5012188325472258, 'Pressure': 228.3460832418207, 'Total Energy': 3149.874860212507, 'Momentum Magnitude': 2.975534409421493e-13}
170 {'Temperature': 0.5194958467509764, 'Pressure': 228.13498961032812, 'Total Energy': 3149.8123049584497, 'Momentum Magnitude': 2.966828571051242e-13}
180 {'Temperature': 0.5446157653947644, 'Pressure': 227.8538006738579, 'Total Energy': 3149.6026638892677, 'Momentum Magnitude': 3.1827463181435933e-13}
190 {'Temperature': 0.506048245666102, 'Pressure': 228.29426630677253, 'Total Energy': 3150.0263211466813, 'Momentum Magnitude': 3.123627847785819e-13}
200 {'Temperature': 0.48041672795352525, 'Pressure': 228.5909945537584, 'Total Energy': 3150.477747633082, 'Momentum Magnitude': 3.195927634937178e-13}
210 {'Temperature': 0.5481924655427388, 'Pressure': 227.80918977598535, 'Total Energy': 3149.588763068867, 'Momentum Magnitude': 3.1910142648218e-13}
220 {'Temperature': 0.4781942902796494, 'Pressure': 228.61499344163755, 'Total Energy': 3150.459060108266, 'Momentum Magnitude': 3.3045703587797515e-13}
230 {'Temperature': 0.5092844146527407, 'Pressure': 228.25292566676796, 'Total Energy': 3149.7695365870404, 'Momentum Magnitude': 3.325739088129264e-13}
240 {'Temperature': 0.5087905341974451, 'Pressure': 228.2804134216088, 'Total Energy': 3150.3201233795176, 'Momentum Magnitude': 3.278939776758063e-13}
250 {'Temperature': 0.49574252882954767, 'Pressure': 228.4075447922767, 'Total Energy': 3150.0818468385514, 'Momentum Magnitude': 3.309993424723367e-13}
260 {'Temperature': 0.5113464840174653, 'Pressure': 228.24170032667922, 'Total Energy': 3150.147303820056, 'Momentum Magnitude': 3.322436054649322e-13}
270 {'Temperature': 0.5567518222300398, 'Pressure': 227.72263908771922, 'Total Energy': 3149.7054559729604, 'Momentum Magnitude': 3.240074700190899e-13}
280 {'Temperature': 0.4596185651553713, 'Pressure': 228.83315006504358, 'Total Energy': 3150.6613745614322, 'Momentum Magnitude': 3.238160169884681e-13}
290 {'Temperature': 0.44477904063112733, 'Pressure': 228.98053342174362, 'Total Energy': 3150.416362424183, 'Momentum Magnitude': 3.284664394188428e-13}
300 {'Temperature': 0.5353315966676098, 'Pressure': 227.96769050979063, 'Total Energy': 3149.930183159345, 'Momentum Magnitude': 3.125029138132527e-13}
310 {'Temperature': 0.46377316458675016, 'Pressure': 228.76129028023186, 'Total Energy': 3150.1186509486793, 'Momentum Magnitude': 2.99344581728511e-13}
320 {'Temperature': 0.4767174812447159, 'Pressure': 228.64088500586809, 'Total Energy': 3150.593807063094, 'Momentum Magnitude': 2.993337521223633e-13}
330 {'Temperature': 0.5354275536035493, 'Pressure': 227.9706918952594, 'Total Energy': 3149.9732565559857, 'Momentum Magnitude': 3.030763467391108e-13}
340 {'Temperature': 0.4905395419349587, 'Pressure': 228.47009012241156, 'Total Energy': 3150.1539834983596, 'Momentum Magnitude': 3.0361892038760113e-13}
350 {'Temperature': 0.46064350612651045, 'Pressure': 228.80818074990043, 'Total Energy': 3150.231726801077, 'Momentum Magnitude': 3.009341609691017e-13}
360 {'Temperature': 0.5026240483972774, 'Pressure': 228.33940150651154, 'Total Energy': 3150.1686770381584, 'Momentum Magnitude': 3.0326998462670744e-13}
370 {'Temperature': 0.4919139447405797, 'Pressure': 228.4516254413131, 'Total Energy': 3150.061701732615, 'Momentum Magnitude': 3.124733393419413e-13}
380 {'Temperature': 0.5494809481068702, 'Pressure': 227.80011472588458, 'Total Energy': 3149.735519965502, 'Momentum Magnitude': 3.041177710926183e-13}
390 {'Temperature': 0.5932164031794872, 'Pressure': 227.28349233507683, 'Total Energy': 3149.013744447642, 'Momentum Magnitude': 3.2140841513674274e-13}
400 {'Temperature': 0.4874891866447727, 'Pressure': 228.5101210969461, 'Total Energy': 3150.123332484293, 'Momentum Magnitude': 3.2999048346519777e-13}
410 {'Temperature': 0.5150443647658447, 'Pressure': 228.19598950614213, 'Total Energy': 3149.9575319964983, 'Momentum Magnitude': 3.2792201369236437e-13}
