Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           1.9613       0.0886       1.8727   689.9
0.0050           1.8765       0.0878       1.7887   659.0
0.0100           1.6671       0.0872       1.5798   582.0
0.0150           1.4252       0.0862       1.3390   493.3
0.0200           1.2222       0.0873       1.1349   418.1
0.0250           1.0886       0.0894       0.9993   368.1
0.0300           1.0295       0.0897       0.9398   346.2
0.0350           1.0434       0.0887       0.9547   351.7
0.0400           1.1311       0.0877       1.0435   384.4
0.0450           1.2941       0.0869       1.2072   444.7
0.0500           1.5216       0.0864       1.4353   528.7
0.0550           1.7690       0.0861       1.6830   620.0
0.0600           1.9481       0.0850       1.8630   686.3
0.0650           1.9685       0.0834       1.8851   694.5
0.0700           1.8168       0.0832       1.7336   638.7
0.0750           1.5714       0.0842       1.4872   547.9
0.0800           1.3291       0.0849       1.2443   458.4
0.0850           1.1462       0.0849       1.0613   391.0
0.0900           1.0391       0.0849       0.9542   351.5
0.0950           1.0076       0.0852       0.9224   339.8
0.1000           1.0504       0.0859       0.9645   355.3
0.1050           1.1699       0.0869       1.0830   399.0
0.1100           1.3666       0.0880       1.2786   471.0
0.1150           1.6210       0.0885       1.5325   564.6
0.1200           1.8699       0.0881       1.7817   656.4
0.1250           2.0085       0.0868       1.9217   708.0
0.1300           1.9594       0.0847       1.8747   690.6
0.1350           1.7485       0.0821       1.6665   613.9
0.1400           1.4787       0.0792       1.3995   515.6
0.1450           1.2410       0.0765       1.1645   429.0
0.1500           1.0761       0.0741       1.0020   369.1
0.1550           0.9908       0.0721       0.9186   338.4
0.1600           0.9821       0.0705       0.9116   335.8
0.1650           1.0498       0.0690       0.9808   361.3
0.1700           1.1975       0.0677       1.1298   416.2
0.1750           1.4228       0.0663       1.3564   499.7
0.1800           1.6941       0.0648       1.6293   600.2
0.1850           1.9277       0.0630       1.8647   686.9
0.1900           2.0108       0.0610       1.9498   718.3
0.1950           1.8928       0.0596       1.8332   675.3
0.2000           1.6393       0.0593       1.5799   582.0
0.2050           1.3649       0.0600       1.3048   480.7
0.2100           1.1465       0.0612       1.0853   399.8
0.2150           1.0093       0.0623       0.9470   348.9
0.2200           0.9530       0.0632       0.8897   327.8
0.2250           0.9741       0.0638       0.9103   335.3
0.2300           1.0747       0.0643       1.0104   372.2
0.2350           1.2596       0.0648       1.1948   440.2
0.2400           1.5209       0.0654       1.4555   536.2
0.2450           1.8088       0.0661       1.7427   642.0
0.2500           2.0153       0.0664       1.9488   717.9
