epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,  755.482,    0.005,         0.030852,          0.13843,            30.99,       0.0948,        0.213,       0.0519,        0.121,        0.121,       0.0981,        0.114,        0.256,        0.253,        0.208,         8.93,        0.425,        0.0016538,         0.030586,           1.6844,       0.0335,       0.0493,       0.0174,       0.0434,       0.0436,       0.0348,       0.0236,       0.0601,       0.0592,       0.0476,         4.45,        0.212
         2, 1304.978,    0.005,        0.0020706,        0.0098376,           2.0805,       0.0389,       0.0551,       0.0223,       0.0489,       0.0496,       0.0403,       0.0301,       0.0659,       0.0661,        0.054,         2.41,        0.115,       0.00078648,        0.0031971,          0.78967,       0.0232,        0.034,       0.0122,       0.0303,       0.0294,        0.024,       0.0165,       0.0417,         0.04,       0.0327,         1.44,       0.0685
         3, 1852.388,    0.005,        0.0014288,        0.0019502,           1.4307,       0.0323,       0.0458,       0.0185,       0.0409,       0.0407,       0.0334,       0.0249,       0.0551,       0.0543,       0.0448,          1.1,       0.0524,       0.00053027,        0.0010894,          0.53136,       0.0191,       0.0279,       0.0102,       0.0249,        0.024,       0.0197,       0.0139,       0.0343,       0.0325,       0.0269,         0.84,         0.04
         4, 2398.439,    0.005,        0.0011448,       0.00066113,           1.1455,       0.0291,        0.041,       0.0171,       0.0366,       0.0364,         0.03,        0.023,       0.0491,       0.0483,       0.0402,        0.641,       0.0305,       0.00040405,       0.00044499,          0.40449,       0.0167,       0.0244,      0.00891,       0.0217,       0.0209,       0.0172,       0.0122,       0.0299,       0.0282,       0.0235,        0.536,       0.0255
         5, 2942.599,    0.005,       0.00097092,       0.00030396,          0.97122,       0.0266,       0.0378,       0.0154,       0.0334,       0.0336,       0.0275,        0.021,       0.0451,        0.045,        0.037,        0.426,       0.0203,       0.00032054,       0.00018471,          0.32073,       0.0149,       0.0217,      0.00806,       0.0193,       0.0188,       0.0154,        0.011,       0.0265,       0.0255,        0.021,        0.345,       0.0164
         6, 3486.557,    0.005,       0.00079396,       0.00012447,          0.79408,       0.0243,       0.0341,       0.0143,       0.0305,       0.0302,        0.025,       0.0194,       0.0408,       0.0404,       0.0335,        0.262,       0.0125,       0.00026754,       0.00017982,          0.26772,       0.0137,       0.0198,      0.00742,       0.0178,       0.0169,        0.014,       0.0102,       0.0243,       0.0228,       0.0191,        0.341,       0.0162
         7, 4029.805,    0.005,       0.00068794,        6.933e-05,            0.688,       0.0226,       0.0318,       0.0134,       0.0282,       0.0282,       0.0233,       0.0182,       0.0378,       0.0377,       0.0312,        0.188,      0.00897,       0.00022665,       4.1939e-05,           0.2267,       0.0126,       0.0182,      0.00684,       0.0165,       0.0156,        0.013,      0.00942,       0.0224,       0.0211,       0.0176,        0.164,      0.00782
         8, 4571.466,    0.005,       0.00066555,       5.8419e-05,          0.66561,       0.0222,       0.0313,       0.0133,       0.0277,       0.0275,       0.0228,       0.0182,       0.0371,        0.037,       0.0308,        0.172,      0.00821,       0.00020003,       3.3163e-05,          0.20006,       0.0119,       0.0171,       0.0065,       0.0155,       0.0146,       0.0122,      0.00895,        0.021,       0.0197,       0.0165,        0.146,      0.00694
         9, 5116.200,    0.005,       0.00057953,       5.0163e-05,          0.57958,       0.0206,       0.0292,       0.0122,       0.0257,       0.0255,       0.0212,       0.0168,       0.0347,       0.0345,       0.0287,        0.155,      0.00739,       0.00018006,       9.2552e-06,          0.18007,       0.0113,       0.0163,      0.00619,       0.0148,       0.0138,       0.0116,      0.00853,         0.02,       0.0185,       0.0157,       0.0765,      0.00364
        10, 5657.532,    0.005,       0.00053168,       3.5155e-05,          0.53172,       0.0199,       0.0279,        0.012,       0.0247,       0.0246,       0.0205,       0.0164,       0.0331,       0.0331,       0.0275,        0.128,       0.0061,       0.00016397,       1.6588e-05,          0.16399,       0.0108,       0.0155,      0.00587,       0.0141,       0.0133,       0.0111,      0.00811,        0.019,       0.0178,        0.015,        0.103,       0.0049
        11, 6200.900,    0.005,       0.00046476,       2.6901e-05,          0.46479,       0.0186,       0.0261,       0.0112,       0.0232,        0.023,       0.0191,       0.0153,        0.031,       0.0308,       0.0257,         0.11,      0.00524,       0.00014448,       5.6318e-06,          0.14449,       0.0101,       0.0146,      0.00556,       0.0132,       0.0125,       0.0104,       0.0077,       0.0178,       0.0168,       0.0141,       0.0592,      0.00282
        12, 6743.083,    0.005,       0.00046678,        2.612e-05,           0.4668,       0.0187,       0.0262,       0.0114,       0.0232,        0.023,       0.0192,       0.0155,        0.031,       0.0309,       0.0258,        0.109,      0.00519,       0.00013419,       2.1921e-05,          0.13421,      0.00979,        0.014,      0.00541,       0.0127,        0.012,         0.01,      0.00746,       0.0172,        0.016,       0.0136,        0.119,      0.00565
