epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e/N_mae
         1, 3402.510,    0.005,        0.0093107,          0.39675,           64.538,         0.03,       0.0589,         27.2,        0.328,        0.0010337,         0.035661,           7.1572,       0.0148,       0.0196,         9.57,        0.115
         2, 6982.268,    0.005,        0.0010701,         0.014746,           7.3869,       0.0149,         0.02,         5.93,       0.0715,       0.00065196,        0.0056101,            4.497,       0.0118,       0.0156,         3.79,       0.0457
         3, 10459.562,    0.005,       0.00073381,         0.003286,           5.0585,       0.0124,       0.0165,         2.87,       0.0345,        0.0005019,        0.0020444,           3.4596,       0.0104,       0.0137,         2.29,       0.0276
         4, 13223.806,    0.005,       0.00058228,        0.0012626,           4.0126,       0.0111,       0.0147,         1.78,       0.0215,       0.00042204,       0.00074513,           2.9082,      0.00955,       0.0125,         1.38,       0.0167
         5, 16138.327,    0.005,       0.00049098,       0.00058785,            3.383,       0.0103,       0.0135,         1.21,       0.0146,       0.00036847,       0.00048424,           2.5389,      0.00894,       0.0117,         1.11,       0.0134
         6, 18650.261,    0.005,       0.00043278,       0.00037961,           2.9818,      0.00964,       0.0127,         0.97,       0.0117,       0.00033128,       0.00030673,           2.2825,      0.00848,       0.0111,        0.887,       0.0107
         7, 21146.472,    0.005,       0.00038922,       0.00026848,           2.6816,      0.00916,        0.012,         0.81,      0.00976,       0.00030318,       0.00030556,           2.0889,      0.00813,       0.0106,        0.885,       0.0107
         8, 23720.341,    0.005,       0.00035961,        0.0002147,           2.4776,      0.00881,       0.0116,        0.727,      0.00876,       0.00028193,       0.00021573,           1.9425,      0.00786,       0.0102,        0.744,      0.00896
         9, 26432.281,    0.005,       0.00033221,        0.0001544,           2.2888,      0.00849,       0.0111,        0.615,      0.00741,       0.00026417,       0.00020705,             1.82,      0.00761,      0.00992,        0.729,      0.00878
        10, 29196.819,    0.005,       0.00031098,       0.00012649,           2.1425,      0.00822,       0.0108,         0.55,      0.00662,       0.00024944,       9.8073e-05,           1.7185,       0.0074,      0.00964,        0.501,      0.00604
        11, 31709.705,    0.005,       0.00029243,       9.5599e-05,           2.0147,      0.00798,       0.0104,        0.475,      0.00572,       0.00023747,       0.00012241,           1.6361,      0.00723,       0.0094,         0.56,      0.00675
        12, 34255.815,    0.005,       0.00027485,       7.9541e-05,           1.8935,      0.00775,       0.0101,        0.436,      0.00526,       0.00022512,       6.1018e-05,           1.5509,      0.00705,      0.00916,        0.395,      0.00476
        13, 36825.272,    0.005,       0.00026292,       6.9811e-05,           1.8113,      0.00758,       0.0099,        0.405,      0.00488,        0.0002165,       5.0428e-05,           1.4915,      0.00692,      0.00898,        0.359,      0.00433
        14, 39642.360,    0.005,       0.00025264,       6.4261e-05,           1.7405,      0.00744,       0.0097,        0.389,      0.00468,        0.0002079,       2.1579e-05,           1.4323,      0.00678,       0.0088,        0.235,      0.00283
        15, 42455.986,    0.005,       0.00024112,        5.692e-05,           1.6611,      0.00727,      0.00948,        0.363,      0.00438,       0.00020037,       6.6598e-05,           1.3804,      0.00667,      0.00864,        0.413,      0.00498
        16, 45272.476,    0.005,       0.00023244,       4.6625e-05,           1.6013,      0.00714,       0.0093,         0.33,      0.00398,       0.00019353,       3.7558e-05,           1.3333,      0.00655,      0.00849,         0.31,      0.00374
        17, 48087.379,    0.005,       0.00022466,       4.4631e-05,           1.5477,      0.00703,      0.00915,         0.32,      0.00386,       0.00018828,       4.1439e-05,           1.2971,      0.00647,      0.00837,        0.326,      0.00393
        18, 50895.828,    0.005,       0.00021868,        4.084e-05,           1.5065,      0.00693,      0.00903,        0.305,      0.00367,       0.00018243,       5.3619e-05,           1.2568,      0.00637,      0.00824,        0.371,      0.00447
        19, 53705.121,    0.005,       0.00021143,       3.7038e-05,           1.4566,      0.00682,      0.00887,        0.287,      0.00345,       0.00017841,       6.9931e-05,           1.2292,       0.0063,      0.00815,        0.423,       0.0051
        20, 56533.227,    0.005,       0.00020485,       3.2809e-05,           1.4113,      0.00672,      0.00874,        0.269,      0.00324,       0.00017384,       1.5925e-05,           1.1976,      0.00622,      0.00805,        0.202,      0.00243
        21, 2884.449,    0.005,       0.00019939,        3.657e-05,           1.3736,      0.00663,      0.00862,         0.29,      0.00349,       0.00016917,       3.9391e-05,           1.1654,      0.00614,      0.00794,        0.318,      0.00383
        22, 5713.053,    0.005,       0.00019519,       2.9544e-05,           1.3447,      0.00656,      0.00853,        0.256,      0.00308,       0.00016611,       3.1776e-05,           1.1444,      0.00609,      0.00787,        0.285,      0.00344
        23, 8650.737,    0.005,       0.00018999,       2.5934e-05,           1.3088,      0.00648,      0.00841,        0.238,      0.00286,       0.00016264,       1.3276e-05,           1.1205,      0.00603,      0.00778,        0.184,      0.00222
